Field                                 County                               Depth                                Cumm PROD                            Gravity             
COUSINS (SLICK-WILCOX)                21172400 MCMULLEN                    7266                                 713                                  59                  
COUSINS (WILCOX 7500)                 21172800 MCMULLEN                    7552                                 12619                                40                  
COVEY CHAPEL (OLMOS)                  21209500 LA SALLE                    5003                                 6755                                 40                  
COW CREEK (HOEGEMEYER 6548)           21244500 MCMULLEN                    6552                                 14967                                35                  
COW CREEK (6900)                      21244750 MCMULLEN                    6970                                 19941                                40                  
CROOKED LAKE (AUSTIN CHALK)           21800100 ZAVALA                      5765                                 372                                  30                  
CROSS "S" RANCH (SAN MIGUEL)          21865750 ZAVALA                      4218                                 156                                  36                  
CROSS "S" RANCH (SAN MIGUEL-NW)       21865850 ZAVALA                      4096                                 706                                  33                  
CROWN, E. (NAVARRO)                   22011500 ATASCOSA                    4300                                 10702514                             42                  
CROWN, NORTH (NAVARRO)                22013500 ATASCOSA                    4035                                 0                                    42                  
CROWN, SOUTH (NAVARRO)                22016500 ATASCOSA                    4631                                 32557                                43                  
CROWTHER (JAMBERS)                    22030250 MCMULLEN                    5997                                 563148                               42                  
CROWTHER (JAMBERS SEG A)              22030500 MCMULLEN                    5908                                 4473                                 43                  
CROWTHER (JAMBERS SEG B)              22030504 MCMULLEN                    5863                                 74901                                49                  
CROWTHER (W-3)                        22030750 MCMULLEN                    5885                                 10190                                46                  
CROWTHER, 5500)                       22030850 MCMULLEN                    5508                                 5661                                 42                  
CROWTHER (5600)                       22030860 MCMULLEN                    5634                                 67200                                34                  
COWTHER (5890 SEG B)                  22030880 MCMULLEN                    5894                                 1160                                 43                  
CROWTHER, N. (JAMBERS)                22033400 MCMULLEN                    5871                                 3419                                 42                  
CRYSTAL CITY (AUSTIN CHALK)           22100100 DIMMIT                      5576                                 27719                                36                  
CRYSTAL CITY (BRACERO)                22100150 ZAVALA                      3414                                 9936                                 18                  
CRYSTAL CITY (3450)                   22100750 ZAVALA                      3452                                 11356                                25                  
DALE                                  22800001 CALDWELL                    2500                                 2054917                              38                  
DALE, WEST                            22806001 CALDWELL                    2300                                 196427                               38                  
DALE-MCBRIDE                          22820001 CALDWELL                    2095                                 1857938                              39                  
DAN COUNTISS (WRIGHT SAND)            22925475 MCMULLEN                    5338                                 309666                               30                  
DANNELLY (AUSTIN CHALK)               23070100 CALDWELL                    1546                                 1544                                 32                  
DANTONE LONG                          23075001 BEXAR                       630                                  1536                                 28                  
DARST CREEK                           23191001 GUADALUPE                   2700                                 106918612                            32                  
DARST CREEK (BUDA)                    23191333 GUADALUPE                   2395                                 23075025                             32                  
DARST CREEK (EDWARDS)                 23191666 GUADALUPE                   2650                                 40571758                             32                  
DAVIE (AUSTIN CHALK)                  23366500 BEXAR                       3207                                 7183                                 27                  
DAVIS (EDWARDS 7481)                  23368500 ATASCOSA                    7487                                 119592                               34                  
DAWN (3170)                           23515500 FRIO                        3171                                 127                                  16                  
DAY                                   23561001 GUADALUPE                   2640                                 6435                                 38                  
DAY (AUSTIN CHALK)                    23561500 GUADALUPE                   2554                                 1834                                 37                  
DEBBY (MIRANDO UP)                    23787500 MCMULLEN                    1100                                 7025                                 20                  
DEEP MUD (AUSTIN CHALK)               23902100 MAVERICK                    4480                                 747                                  34                  
DEL MONTE                             24040001 ZAVALA                      3358                                 180026                               25                  
DEL MONTE (OLMOS)                     24040200 ZAVALA                      2800                                 6445                                 24                  
DEL MONTE (SAN MIGUEL -D-)            24040400 ZAVALA                      3409                                 30059                                20                  
DEL MONTE (SAN MIGUEL 3300)           24040800 ZAVALA                      3372                                 0                                    50                  
DELORES (MIDWAY -D- SD.)              24166500 WILSON                      4210                                 531                                  42                  
DENHAWKEN (BASAL WILCOX Z.            24239500 WILSON                      4286                                 80910                                35                  
DENT INGRAM (OLMOS 1)                 24317440 DIMMIT                      3735                                 80496                                64                  
DENT INGRAM (OLMOS                    24317450 DIMMIT                      3785                                 2088                                 48                  
DENT INGRAM (OLMOS 5)                 24317480 DIMMIT                      3636                                 4881                                 38                  
DENT INGRAM (3800 OLMOS)              24317500 DIMMIT                      3801                                 18651                                50                  
DERBY (GLEN ROSE H                    24366400 FRIO                        12000                                0                                    49                  
DERBY, EAST (AUSTIN CHALK)            24368300 FRIO                        6990                                 45776                                26                  
DERRICK BACON (BUDA)                  24382500 WILSON                      6500                                 288671                               34                  
DEUPREE                               24420001 BEXAR                       1025                                 13498                                34                  
DEVILS RIVER (PALUXY)                 24462500 VAL VERDE                   350                                  5676                                 33                  
DEVILS WATER HOLE (7000)              24476500 MCMULLEN                    6990                                 4424018                              40                  
DEWEES (AUSTIN CHALK)                 24483500 WILSON                      7461                                 16416                                30                  
DEWVILLE (POTH)                       24493500 GONZALES                    2295                                 41432                                18                  
DICKE (LOWER WRIGHT)                  24651240 ATASCOSA                    5406                                 65660                                43                  
DICKE (WALES SAND)                    24651474 ATASCOSA                    5326                                 16949                                33                  
DICKE (WRIGHT SAND)                   24651475 ATASCOSA                    5383                                 191144                               47                  
DICKE, W. (LOWER WRIGHT)              24652240 ATASCOSA                    5535                                 71975                                33                  
DILLEY (AUSTIN CHALK)                 24797500 FRIO                        7554                                 269768                               31                  
DILWORTH (BUDA)                       24806200 MCMULLEN                    8561                                 300                                  26                  
DILWORTH (CARRIZO)                    24806267 MCMULLEN                    3278                                 1340088                              28                  
DILWORTH (EAGLE FORD)                 24806300 MCMULLEN                    11029                                171851                               49                  
DILWORTH (WILCOX 5500)                24806666 MCMULLEN                    5536                                 69886                                37                  
DILWORTH, SOUTH (AUSTIN CHALK)        24809050 GONZALES                    10404                                26532                                42                  
DILWORTH SOUTH (BUDA)                 24809100 GONZALES                    9800                                 13932                                46                  
DILWORTH, S.E. (WILCOX SUTTON)        24811600 MCMULLEN                    5487                                 1150                                 44                  
DILWORTH, S.E. (WILCOX 56             24811650 MCMULLEN                    5622                                 1359                                 44                  
DILWORTH, SE (WILCOX 5700)            24811666 MCMULLEN                    5719                                 1730                                 48                  
DILWORTH, SE (WILCOX 6500)            24811700 MCMULLEN                    6490                                 52446                                41                  
DILWORTH RANCH                        24825001 MCMULLEN                    4929                                 37638                                37                  
DILWORTH RANCH (MULA)                 24825200 MCMULLEN                    5524                                 238607                               44                  
DILWORTH RANCH, N. (WASHBURN)         24827800 MCMULLEN                    5518                                 232205                               44                  
DINSMOOR (CARRIZO)                    24922333 ATASCOSA                    2060                                 963863                               19                  
DINSMOOR (QUEEN CITY)                 24922666 ATASCOSA                    1891                                 198669                               15                  
DISMUKES (AUSTIN CHALK)               24978333 WILSON                      4880                                 47300                                32                  
DISMUKES (BUDA LIME)                  24978666 WILSON                      5220                                 705                                  28                  
DIVOT                                 25006001 FRIO                        5501                                 6003                                 29                  
DIXIE (NAVARRO B)                     25014500 MILAM                       3142                                 289530                               42                  
DOBROWOLSKI (7400 BUDA)               25070500 ATASCOSA                    7470                                 42765                                27                  
DOBSON (NAVARRO SAND)                 25076500 FRIO                        3238                                 52588                                39                  
DOERING RANCH                         25146001 FRIO                        5501                                 7460                                 29                  
DOERING RANCH (BUDA)                  25146200 FRIO                        6194                                 15557                                44                  
DOERING RANCH (GEORGETOWN)            25146230 FRIO                        6530                                 931195                               33                  
DONAHO (CHALK, UPPER)                 25290500 WILSON                      4401                                 1911                                 32                  
DOS ARROYOS (SAN MIGUEL)              25560700 ZAVALA                      5074                                 299712                               30                  
DOSS (TAYLOR)                         25587500 MILAM                       712                                  0                                    40                  
DRAGOON CREEK (GOVT. WELLS, UP.)      26038500 MCMULLEN                    1022                                 596071                               16                  
DRAGOON CREEK (HOCKLEY 750)           26038510 MCMULLEN                    744                                  1093                                 20                  
DRAGOON CREEK, SW. (GOVT. WELLS)      26044500 MCMULLEN                    1120                                 134251                               18                  
DRUMMOND (AUSTIN 1400)                26190333 CALDWELL                    1388                                 51678                                36                  
DRUMMOND (EDWARDS 1800)               26190666 CALDWELL                    1833                                 26849                                28                  
DUBOSE (EDWARDS -A-)                  26261666 GONZALES                    12135                                396303                               47                  
DUBOSE (LOWER AUSTIN CHALK)           26261750 GONZALES                    11420                                196678                               42                  
DUBOSE (UP. SPARTA-H                  26261800 GONZALES                    2500                                 0                                    0                   
DUBOSE, NE. (EDWARDS -A-)             26264500 GONZALES                    12228                                43794                                48                  
DUIKER (WALES)                        26397500 MCMULLEN                    5971                                 907                                  52                  
DULCE (ESCONDIDO A)                   26430500 ATASCOSA                    4599                                 17546                                36                  
DULCE (OLMOS)                         26430750 ATASCOSA                    5490                                 8634                                 35                  
DUNLAP                                26620001 GUADALUPE                   2250                                 8787337                              38                  
DUNLAP (SERPENTINE)                   26620500 CALDWELL                    2453                                 24284                                35                  
DUNLAY                                26634001 MEDINA                      550                                  2029                                 18                  
E.R. BOUNDS (ESCONDIDO)               27015400 ATASCOSA                    2427                                 78                                   34                  
EAGLE (AUSTIN CHALK)                  27066100 MAVERICK                    2763                                 5333                                 21                  
EAGLE (EAGLE FORD)                    27066200 MAVERICK                    3110                                 770                                  24                  
EAGLE (1150)                          27066425 MAVERICK                    1196                                 1752                                 26                  
EAGLE (1                              27066500 MAVERICK                    1237                                 2306                                 26                  
EAGLE (3460)                          27066700 MAVERICK                    3462                                 0                                    36                  
EAGLE PASS (EAGLEFORD)                27112500 MAVERICK                    3480                                 6934                                 35                  
EAGLEVILLE (EAGLE FORD SOUR)          27135600 FRIO                        7705                                 114723                               30                  
EAGLEVILLE (EAGLE FORD-1)             27135700 KARNES                      10580                                646461609                            37                  
FARAH                                 30193500 MILAM                       1574                                 5                                    39                  
FARIAS (OLMOS)                        30229500 DIMMIT                      1612                                 82461                                25                  
FASHING (AUSTIN CHALK)                30379100 ATASCOSA                    9862                                 139148                               56                  
FASHING (EAGLE FORD)                  30379300 ATASCOSA                    10376                                135459                               40                  
FASHING (EDWARDS LIME -A-)            30379500 ATASCOSA                    10884                                1113868                              34                  
FASHING (EDWARDS LIME -B-)            30379750 ATASCOSA                    10790                                0                                    38                  
FENTRESS (1750)                       30655400 CALDWELL                    1788                                 1140175                              28                  
FERRY (CARRIZO SD.)                   30725300 ATASCOSA                    2187                                 1500                                 23                  
FIEDLER BROTHERS                      30768500 LA SALLE                    7882                                 18586                                46                  
FIGHT & HOLLER (SAN MIGUEL)           30832400 ZAVALA                      2323                                 8803                                 21                  
FIRST SHOT (AUSTIN CHALK)             30967100 GONZALES                    11369                                7769407                              33                  
FIRST SHOT (EDWARDS)                  30967140 GONZALES                    10514                                1936                                 42                  
FITZ (AUSTIN CHALK)                   31089500 DIMMIT                      5334                                 9666                                 44                  
FITZPATRICK (GEORGETOWN)              31118333 MAVERICK                    2020                                 490749                               39                  
FITZPATRICK (GEORGETOWN 1880)         31118510 MAVERICK                    1950                                 24931                                40                  
FITZPATRICK (GEORGETOWN 1985)         31118666 MAVERICK                    2004                                 384751                               38                  
FITZPATRICK, WEST (1940)              31129500 MAVERICK                    1990                                 29483                                39                  
FIVE MILE (WILCOX, UPPER)             31149800 GONZALES                    3511                                 120257                               27                  
FLORESVILLE, EAST                     31554001 WILSON                      2734                                 1708556                              22                  
FLORESVILLE, E. (AUSTIN CHALK)        31554250 WILSON                      4885                                 63773                                32                  
FLORESVILLE, E. (BARTOSH SD.)         31554500 WILSON                      1591                                 53357                                22                  
FLORESVILLE, E. (MIDWAY)              31554670 WILSON                      2607                                 20753                                22                  
FLORESVILLE E. (POTH A)               31554700 WILSON                      2767                                 719                                  24                  
FLORESVILLE, E. (POTH B 2800)         31554750 WILSON                      2799                                 583942                               22                  
FLORESVILLE, S. (AUSTIN CHALK)        31556100 WILSON                      6435                                 532261                               29                  
FOERSTER (POTH -A-)                   31801500 WILSON                      1578                                 14320                                19                  
FOGG (OLMOS 4500)                     31822500 DIMMIT                      4594                                 336                                  46                  
FOSS (MIRANDO SAND)                   32295500 MCMULLEN                    490                                  86460                                20                  
FOUR ACES (AUSTIN CHALK)              32337333 MAVERICK                    3420                                 59843                                36                  
FOUR ACES (OLMOS 2-B SAND)            32337666 MAVERICK                    1228                                 1744                                 28                  
FREDDY HUTT (WILCOX)                  32857500 MCMULLEN                    4975                                 403786                               32                  
FREDDY HUTT, SOUTH (WILCOX)           32860600 MCMULLEN                    5407                                 274783                               41                  
FRIDAY (OLMOS)                        33015500 DIMMIT                      5131                                 3655                                 43                  
FRODEIN (GEORGETOWN)                  33078400 WILSON                      5164                                 61886                                38                  
FULCHER (EDWARDS A)                   33182400 GONZALES                    11907                                0                                    50                  
GALBA (BARTOSH)                       33762200 ATASCOSA                    3050                                 129265                               24                  
GALBA (CARRIZO)                       33762400 ATASCOSA                    1578                                 160728                               19                  
GALBA (ESCONDIDA -B-)                 33762600 ATASCOSA                    4960                                 78125                                40                  
GALBA (NAVARRO)                       33762800 ATASCOSA                    4770                                 1074403                              41                  
GALBA, EAST (ESCONDIDA -B-)           33763500 ATASCOSA                    5074                                 31623                                39                  
GAS RIDGE                             34142001 BEXAR                       1300                                 517262                               22                  
GAS-X (WALES)                         34144475 MCMULLEN                    5981                                 14699                                45                  
GAS-X, N. (WALES)                     34146475 MCMULLEN                    6200                                 83934                                53                  
GAS-X, SHALLOW (CARRIZO)              34152075 MCMULLEN                    4012                                 32405                                29                  
GASPER (ATKINSON SAND)                34156002 WILSON                      2660                                 438038                               22                  
GATES CATARINA                        34200500 DIMMIT                      5150                                 181999                               38                  
GAUSE                                 34260001 MILAM                       5698                                 1971                                 30                  
GEISE-SPRINGS (1900)                  34351500 GUADALUPE                   2084                                 1040                                 23                  
GEMSBOK (WALES)                       34377500 MCMULLEN                    5668                                 44015                                43                  
GIDDINGS (AUSTIN CHALK-1)             34726510 BASTROP                     7480                                 1314946                              39                  
GINNY JOHNSON (NAVARRO A)             34997500 MILAM                       2889                                 157952                               45                  
GLASS                                 35214001 GUADALUPE                   2395                                 10797                                30                  
GLEN HUMMEL (BARTOSH)                 35291250 WILSON                      1207                                 4916                                 23                  
GLEN HUMMEL (POTH)                    35291500 WILSON                      2432                                 3964517                              28                  
GLEN HUMMEL (POTH -B-)                35291750 WILSON                      2228                                 113887                               24                  
GLEN HUMMEL, EAST (POTH)              35292500 WILSON                      2323                                 119701                               24                  
GLEN HUMMEL, SW. (POTH B)             35297500 WILSON                      2236                                 90019                                24                  
GLENEWINKEL (EAGLE FORD 2             35387500 GUADALUPE                   2310                                 3638                                 38                  
GLENN POTH (POTH SAND)                35396365 WILSON                      962                                  75834                                25                  
GLORIANA (POTH -A-)                   35450500 WILSON                      1630                                 1833189                              19                  
GOLDEN LAB (ANACACHO)                 35591200 MEDINA                      2162                                 891                                  23                  
GOLDFINCH                             35622001 FRIO                        4640                                 135031                               36                  
GOLDFINCH (AUSTIN CHALK)              35622100 FRIO                        6150                                 80080                                20                  
GONZALES (AUSTIN CHALK)               35727300 GONZALES                    8790                                 512546                               42                  
GOOD LUCK (SAN MIGUEL)                35772500 DIMMIT                      5849                                 1738761                              33                  
GOODWELL (AUSTIN CHALK)               35841100 ZAVALA                      6671                                 8351                                 31                  
GOTEBO KID (ANACACHO-SERPENTINE)      36053002 ZAVALA                      2408                                 114434                               29                  
GOTEBO KID (VOLCANICS)                36053470 ZAVALA                      2860                                 13260                                20                  
GREEN BRANCH                          36644001 MCMULLEN                    3941                                 1687202                              28                  
GREEN BRANCH (QUEEN CITY)             36644200 MCMULLEN                    2252                                 229398                               21                  
GREEN BRANCH (WILCOX 2-D)             36644330 MCMULLEN                    5430                                 15387                                50                  
GREEN BRANCH (4600)                   36644365 MCMULLEN                    4639                                 732062                               33                  
GREEN BRANCH (5500)                   36644600 MCMULLEN                    6200                                 55428                                43                  
GREEN BRANCH (6100)                   36644800 MCMULLEN                    6152                                 8141                                 62                  
GREEN-FRANKLIN                        36681001 MCMULLEN                    3941                                 10486                                35                  
GREEN-FRANKLIN (WILCOX 6150)          36681500 MCMULLEN                    6153                                 2927                                 35                  
GREEN-FRANKLIN, S. (C-SAND)           36685500 MCMULLEN                    5816                                 1179                                 38                  
GRISELDA (OLMOS                       37058400 DIMMIT                      3528                                 29407                                37                  
GRISELDA (OLMOS                       37058500 DIMMIT                      3556                                 17105                                33                  
GUADALUPE BEND (AUSTIN CHALK)         37254200 GUADALUPE                   2179                                 203762                               12                  
GUAJILLO (OLMOS SAND)                 37258750 MEDINA                      600                                  0                                    15                  
GULFSTAR (CANYON)                     37399500 BANDERA                     3784                                 9919                                 28                  
H.G.L. (ELAINE SAND)                  37630200 DIMMIT                      4300                                 16222                                38                  
H.G.L. (ELAINE SAND SEG A)            37630225 DIMMIT                      4314                                 223                                  34                  
HGL (GEORGETOWN)                      37630300 DIMMIT                      6873                                 16305                                39                  
HABY                                  37879001 MEDINA                      570                                  202                                  22                  
HACKBERRY CREEK (4                    37928500 EDWARDS                     4318                                 42622                                34                  
HAGIST RANCH, NORTH (ARGO 2500)       37997020 MCMULLEN                    2526                                 1022625                              35                  
HAMON E. (AUSTIN CHALK)               38515100 GONZALES                    10199                                59070                                44                  
HAMMOND (ANACACHO)                    38567050 ZAVALA                      3966                                 21991                                20                  
HAMMOND (ELAINE SAND)                 38567250 ZAVALA                      3326                                 76523                                25                  
HAMMOND (OLMOS SAND)                  38567500 ZAVALA                      3005                                 1292                                 27                  
HAMMOND (SAN MIGUEL NO 4)             38567750 ZAVALA                      3259                                 262511                               24                  
HAMON (AUSTIN CHALK)                  38578200 GONZALES                    10164                                23282                                41                  
HARPOLE (OLMOS)                       39189400 UVALDE                      276                                  1063                                 10                  
HARPOLE (SAN MIGUEL)                  39189500 UVALDE                      448                                  751                                  10                  
HARRY MOSSER                          39338001 WILSON                      7710                                 2863                                 30                  
HART-DALE (AUSTIN CHALK)              39400300 GUADALUPE                   920                                  3158                                 28                  
HASSE (BUDA)                          39560200 WILSON                      5950                                 469290                               31                  
HAYS-EZZELL (1200)                    39857666 MCMULLEN                    1038                                 0                                    18                  
HELEN (ANACACHO)                      40214500 ZAVALA                      1906                                 2667                                 18                  
HELEN K. (AUSTIN)                     40246400 WILSON                      6178                                 5916                                 40                  
HELEN K. (BUDA)                       40246500 WILSON                      6330                                 18249                                43                  
HENRY (CARRIZO B-2)                   40496250 MCMULLEN                    3526                                 330056                               26                  
HENRY (CARRIZO B-3)                   40496375 MCMULLEN                    3526                                 1199880                              26                  
HENRY (CARRIZO B-                     40496500 MCMULLEN                    3572                                 698163                               28                  
HENRY (WALES "A" SAND)                40496900 MCMULLEN                    5483                                 452539                               43                  
HENRY, NE. (3510)                     40499400 MCMULLEN                    3513                                 6494                                 27                  
HENRY, NE. (CARRIZO, 3650)            40499500 MCMULLEN                    3640                                 161586                               33                  
HENRY, SW. (CARRIZO B-2)              40505500 MCMULLEN                    3526                                 16824                                26                  
HICKORY CREEK (NAVARRO)               41019500 BASTROP                     3558                                 57154                                35                  
HIDDEN VALLEY (OLMOS 3830)            41092500 DIMMIT                      3864                                 1174                                 38                  
HIDDEN VALLEY (SAN MIGUEL)            41092700 DIMMIT                      4090                                 1535                                 35                  
HIDDEN VALLEY, SE. (OLMOS)            41096500 DIMMIT                      4375                                 7560                                 40                  
HIGGINS                               41099001 WILSON                      5612                                 251499                               40                  
HIGGINS (BUDA LIME)                   41099250 WILSON                      5726                                 40939                                26                  
HIGGINS (ESCONDIDO)                   41099500 WILSON                      4031                                 69549                                23                  
HIGGINS (5700)                        41099750 WILSON                      5706                                 73365                                23                  
HIGGINS (5850)                        41099850 WILSON                      5870                                 75450                                33                  
HIGGINS, NE (AUSTIN CHALK)            41100500 WILSON                      5845                                 96784                                30                  
HIGHGROVE (AUSTIN CHALK)              41128500 BASTROP                     1925                                 11140                                42                  
HILBIG                                41379001 BASTROP                     2500                                 6469068                              37                  
HILBIG, SOUTH (NAVARRO)               41383500 BASTROP                     1662                                 1208                                 37                  
HILD (POTH A)                         41390500 WILSON                      1051                                 2102                                 22                  
HINDES                                41552001 FRIO                        5600                                 543984                               36                  
HINDES (AUSTIN CHALK)                 41552500 FRIO                        7736                                 8486                                 24                  
HODDE (WALES SAND)                    41856475 MCMULLEN                    5330                                 517840                               40                  
HOLDSWORTH (BRACERO SEG 1)            42120100 ZAVALA                      3803                                 122649                               32                  
HOLDSWORTH (BRACERO SEG 2)            42120200 ZAVALA                      3847                                 36298                                32                  
HOLDSWORTH (BRACERO SEG 6)            42120300 ZAVALA                      3718                                 5722                                 31                  
HOLDSWORTH (ELAINE UP SEG 1)          42120400 ZAVALA                      3801                                 212356                               34                  
HOLDSWORTH (ELAINE UP SEG 3)          42120500 ZAVALA                      3784                                 24631                                33                  
HOLDSWORTH (ELAINE UP SEG             42120600 ZAVALA                      3746                                 117827                               34                  
HOLDSWORTH (ELAINE UP SEG 5)          42120700 ZAVALA                      3725                                 578741                               34                  
HOLDSWORTH (ELAINE UP SEG 6)          42120800 ZAVALA                      3788                                 6041                                 31                  
HOLLOWAY, EAST (AUSTIN CHALK)         42249100 ATASCOSA                    6760                                 31923                                20                  
HOLLOWAY, EAST (BUDA)                 42249200 ATASCOSA                    6898                                 162401                               31                  
HOLMAN RANCH                          42296001 EDWARDS                     550                                  168960                               14                  
HOLSTEIN (POTH B, LO.)                42327500 WILSON                      2286                                 42316                                24                  
HONCHO-MAGUELLITOS (1300)             42413250 LA SALLE                    1297                                 52314                                20                  
HORN (AUSTIN CHALK)                   42615166 ATASCOSA                    6212                                 128597                               34                  
HORN (AUSTIN CHALK SEG B)             42615332 ATASCOSA                    6450                                 92047                                38                  
HORN (AUSTIN CHALK SEG C)             42615498 ATASCOSA                    6762                                 193720                               39                  
HORN (OLMOS NAVARRO, UPPER)           42615664 ATASCOSA                    5272                                 1702                                 37                  
HORN (5300 SAND)                      42615830 ATASCOSA                    5262                                 2018556                              38                  
HORN, N. (OLMOS, UP.)                 42617500 ATASCOSA                    5165                                 125032                               38                  
HOSEK (POTH, LO. -A-)                 42747500 WILSON                      2392                                 313413                               26                  
HOSTETTER (ARGO)                      42803010 MCMULLEN                    2529                                 71599                                21                  
HOSTETTER (CHERNOSKY)                 42803083 MCMULLEN                    2420                                 5862                                 20                  
HOSTETTER, N. (GOV'T. WELLS,3RD)      42805150 MCMULLEN                    2910                                 66168                                24                  
HOSTETTER, N. (PETTUS)                42805245 MCMULLEN                    63890                                1                                    30                  
HUGH FITZSIMONS (OLMOS)               43305333 DIMMIT                      3133                                 293067                               44                  
HUGH FITZSIMMONS (SAN MIGUEL)         43305666 DIMMIT                      3750                                 4123165                              42                  
